country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
902	Less developed regions	39.8527	40.8493	42.153	42.8469	43.6771	44.1877	44.6979	45.1203	45.5407	42.9837	41.034	43.9378	47.3185	47.9175	48.5361	48.1898	49.0279	49.5531	50.3365	50.8485	51.1959	50.4873	52.3459	52.9782	53.3887	53.5821	54.1459	54.8148	55.2001	55.6905	56.1031	56.5122	56.914	57.124	57.5072	57.9213	58.4083	58.803	58.9309	59.5553	59.8028	59.9833	60.2893	60.5952	60.647	61.1911	61.4222	61.7378	61.9088	62.4203	62.8149	63.1374	63.4974	63.8321	64.0955	64.5108	64.9079	65.1947	65.4432	65.878	66.2062	66.5987	66.9419	67.2688	67.6586	67.9643	68.242	68.428	68.7353	68.9282	68.2214	67.1758	2021
941	Least developed countries	35.7478	36.1064	36.6341	37.0354	37.5703	38.0554	38.4292	38.2327	38.5014	39.5196	39.8762	40.2172	40.7058	40.8118	41.5026	41.4934	41.7751	42.3474	42.7106	42.9485	41.8112	35.2084	43.2252	43.9754	43.9516	42.0089	43.1513	45.0523	45.3361	45.8737	46.3772	46.7283	46.9324	45.9957	45.7489	46.1436	46.9273	47.2831	46.7609	48.5923	48.7438	48.491	48.7763	49.3795	48.2679	50.8571	51.0614	51.5977	51.2737	52.8323	53.7378	54.2175	54.6645	55.2694	55.7953	56.2888	56.9183	57.337	57.5712	58.4142	58.8042	59.4989	59.9722	60.2538	60.7203	61.0929	61.5876	62.0023	62.4037	62.6784	62.2509	61.7446	2021
934	Less developed regions, excluding least developed countries	40.4961	41.5742	42.976	43.7061	44.5713	45.0823	45.6157	46.1303	46.5799	43.5015	41.2426	44.5315	48.3564	49.0043	49.5981	49.1945	50.1258	50.6549	51.5097	52.0728	52.6776	53.1933	53.7938	54.4227	54.934	55.536	56.011	56.4945	56.9204	57.4227	57.8334	58.2514	58.6781	59.1327	59.632	60.0556	60.4754	60.8552	61.1311	61.5113	61.7787	62.0853	62.4086	62.6777	62.9593	63.1619	63.4214	63.7166	64.0079	64.3229	64.6323	64.9246	65.2699	65.5618	65.7748	66.1746	66.5258	66.7813	67.034	67.3774	67.7013	68.0325	68.3452	68.677	69.0583	69.3614	69.6038	69.7606	70.0639	70.2516	69.4992	68.3843	2021
948	Less developed regions, excluding China	39.0075	40.0395	41.5233	42.1834	43.0867	43.7232	44.2427	44.6047	45.047	45.7185	46.1222	46.5419	47.0087	47.3819	47.8433	46.9837	47.8563	48.329	49.0866	49.5006	49.6079	48.2332	50.5714	51.1593	51.5629	51.6874	52.253	53.0344	53.396	53.8608	54.2349	54.5848	54.9134	55.1189	55.4808	55.8926	56.3761	56.7432	56.8138	57.5249	57.7446	57.9438	58.2331	58.5495	58.5142	59.1415	59.3784	59.6944	59.8427	60.3826	60.7927	61.1007	61.4717	61.806	62.0523	62.4923	62.8708	63.1803	63.4513	63.8749	64.2309	64.6587	65.0146	65.3785	65.8194	66.1763	66.4805	66.7964	67.0433	67.2473	66.3062	64.9398	2021
1636	Land-locked Developing Countries (LLDC)	37.6839	37.9809	38.3798	38.7711	39.1298	39.5238	39.8934	39.0149	39.3687	40.9924	41.3895	41.8391	42.2426	42.4085	43.0065	43.0562	42.6727	43.3815	43.6219	43.7909	44.0447	44.3078	43.7454	44.7076	44.6605	44.902	45.589	45.8152	45.8472	46.2318	46.6688	47.2032	47.3535	45.8299	45.6186	46.1913	47.0402	48.288	47.9378	49.2107	49.0119	49.3845	48.9196	48.8054	45.6268	49.9435	50.1279	50.3381	49.7215	51.0163	51.7397	52.1735	52.7436	53.5284	54.213	54.8087	55.5271	56.2295	56.9414	57.5988	58.3022	58.9789	59.5839	60.1109	60.5147	60.9187	61.4424	61.7467	62.0455	62.3883	61.3899	60.9806	2021
1637	Small Island Developing States (SIDS)	47.017	47.2159	48.2348	48.9618	49.7658	50.5407	51.1484	51.7054	52.2284	52.7713	53.3322	53.7719	54.2754	54.2618	55.0376	55.0032	55.8799	56.2883	56.6618	57.0567	57.4718	57.8274	58.1935	58.5938	59.0009	58.4794	58.798	58.96	59.0267	59.2704	59.9096	60.2455	60.624	60.9391	61.3006	61.5573	61.8314	62.1943	62.4727	63.1115	63.3533	63.4819	63.742	63.9579	64.1108	64.4215	64.6435	64.9138	65.0027	65.3057	66.0146	66.1914	66.3825	66.6089	66.5374	67.0206	67.2696	67.5234	67.7617	68.0534	65.1855	68.4506	68.7699	68.9519	69.0982	69.2035	69.2473	69.3802	69.4418	69.5592	69.2924	68.0414	2021
1503	High-income countries	58.1797	59.5127	61.7356	62.4774	63.4592	63.8324	64.0102	63.9924	64.8768	64.968	65.2471	65.6311	65.5586	65.7265	66.2348	66.3174	66.5259	66.7636	66.6613	66.6484	67.0053	67.2838	67.5223	67.685	68.0772	68.2993	68.5526	68.9031	69.0624	69.4143	69.4353	69.8868	70.2348	70.3004	70.6604	70.7319	71.0091	71.2991	71.4534	71.659	71.8482	72.0214	72.3173	72.4176	72.7281	72.8509	73.2447	73.654	73.8968	74.0958	74.4986	74.8019	74.9846	75.1131	75.5666	75.7001	76.0833	76.3117	76.5602	76.8878	77.1461	77.3728	77.5526	77.7726	78.0151	77.9451	78.1274	78.1937	78.3317	78.5761	77.6367	77.5091	2021
1517	Middle-income countries	42.2461	42.787	43.5717	44.1506	44.8999	45.4307	46.0353	46.4965	46.9843	44.1131	42.027	45.1022	48.6371	49.2454	49.8242	49.3884	50.2622	50.7055	51.4814	51.9479	52.271	51.4772	53.4815	54.0604	54.4872	54.6363	55.1638	55.8415	56.2358	56.6818	57.0913	57.4853	57.9271	58.3227	58.7442	59.1853	59.7326	60.0855	60.3293	60.6789	60.898	61.0722	61.3133	61.3666	61.5676	61.8394	62.1939	62.5705	62.929	63.1861	63.4357	63.7387	64.0431	64.3233	64.5918	64.9826	65.4221	65.7242	65.9584	66.4207	66.7371	67.163	67.541	67.8917	68.2886	68.6138	68.906	69.106	69.416	69.5977	68.7858	67.648	2021
1502	Upper-middle-income countries	43.8231	44.5359	45.4313	46.1421	46.8663	47.3226	48.0906	48.5382	49.1189	43.2322	39.1529	44.542	51.0664	51.6299	52.2824	52.8043	53.4134	53.9587	54.5215	55.0125	55.6563	56.5152	57.1651	57.8808	58.3788	58.8574	59.4475	59.9752	60.4487	60.8941	61.2963	61.7647	62.2138	62.6256	62.958	63.3903	63.9969	64.3035	64.4837	64.7573	64.88	65.186	65.3732	65.3181	65.5269	65.8708	66.3744	66.8549	67.2106	67.3646	67.5678	67.9173	68.1329	68.388	68.7463	69.0692	69.5717	69.8983	70.1798	70.6731	70.9524	71.3509	71.6833	72.0183	72.2967	72.5305	72.6903	72.8068	73.2454	73.4777	72.6159	72.1989	2021
1501	Lower-middle-income countries	40.8371	41.1514	41.7376	42.1589	42.9207	43.5501	44.0206	44.4836	44.9282	45.4858	45.821	46.1829	46.636	47.0296	47.4312	46.0456	47.1889	47.5975	48.5332	48.9718	48.9949	46.7721	50.0567	50.5999	51.0828	51.0807	51.6904	52.6432	53.0483	53.5255	53.9643	54.2912	54.693	55.1424	55.6357	56.0538	56.4839	56.8053	57.098	57.4844	57.7571	57.9458	58.308	58.52	58.7651	59.0117	59.2762	59.6	60.0012	60.376	60.6689	60.9636	61.3591	61.6633	61.8588	62.2804	62.6363	62.8969	63.0719	63.4813	63.8191	64.2504	64.624	64.9892	65.4648	65.8911	66.2823	66.5662	66.8105	66.9718	66.1905	64.5282	2021
