country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.2724	2.1838	2.1228	2.0715	2.0359	2.0023	1.9545	1.91	1.8598	1.8178	1.7846	1.7506	1.72	1.6892	1.663	1.6416
1834	Sub-Saharan Africa	4.386	3.9627	3.5942	3.259	2.9848	2.7448	2.5482	2.378	2.2551	2.1356	2.0433	1.9552	1.8847	1.8299	1.7756	1.7354
1833	Northern Africa and Western Asia	2.7091	2.474	2.3264	2.2063	2.1014	2.0222	1.9512	1.897	1.8329	1.7791	1.735	1.7026	1.6744	1.6396	1.6202	1.5978
1831	Central and Southern Asia	2.1114	1.9362	1.8381	1.7721	1.7185	1.6735	1.6374	1.6106	1.5764	1.5562	1.5354	1.5194	1.5048	1.4938	1.4751	1.4748
1832	Eastern and South-Eastern Asia	1.4646	1.3992	1.3958	1.3804	1.3878	1.4066	1.4172	1.4114	1.4156	1.413	1.4084	1.4133	1.4246	1.4188	1.4168	1.4136
1830	Latin America and the Caribbean	1.8291	1.6876	1.6375	1.6012	1.5692	1.5496	1.5372	1.529	1.5182	1.5026	1.491	1.4884	1.4808	1.4688	1.472	1.468
1835	Oceania (excluding Australia and New Zealand)	2.9017	2.4441	2.2783	2.1559	2.0559	1.9786	1.9175	1.8659	1.8086	1.7601	1.7144	1.6722	1.6486	1.6132	1.5852	1.5612
1836	Australia/New Zealand	1.6326	1.4785	1.4431	1.417	1.408	1.3992	1.3872	1.3694	1.3554	1.3522	1.3632	1.3506	1.3496	1.3494	1.3456	1.3456
1829	Europe and Northern America	1.5578	1.4896	1.4924	1.4924	1.4836	1.4872	1.4884	1.4864	1.4808	1.4846	1.482	1.4758	1.4736	1.4794	1.481	1.4818
901	More developed regions	1.541	1.478	1.4828	1.4842	1.4806	1.4846	1.489	1.4874	1.4822	1.4842	1.4844	1.4816	1.4788	1.4856	1.4844	1.485
902	Less developed regions	2.3731	2.2729	2.1968	2.1308	2.0867	2.0469	1.9937	1.9411	1.8883	1.8412	1.8016	1.7626	1.7306	1.6974	1.6694	1.6456
941	Least developed countries	3.7855	3.4982	3.233	3.0015	2.7873	2.6109	2.4518	2.322	2.2122	2.1121	2.0237	1.9364	1.8675	1.8059	1.755	1.7258
934	Less developed regions, excluding least developed countries	2.0634	1.9633	1.9006	1.8457	1.8186	1.8054	1.767	1.7302	1.703	1.6756	1.6492	1.636	1.6186	1.595	1.5828	1.5673
948	Less developed regions, excluding China	2.6377	2.4873	2.3758	2.283	2.2073	2.1354	2.0664	2.0025	1.9425	1.8879	1.8412	1.794	1.754	1.7212	1.6886	1.6616
1636	Land-locked Developing Countries (LLDC)	3.7409	3.3993	3.1118	2.8797	2.6761	2.5158	2.3732	2.2328	2.1072	2.0163	1.9302	1.8687	1.8039	1.751	1.7168	1.6822
1637	Small Island Developing States (SIDS)	2.2329	2.0466	1.9786	1.9211	1.8679	1.8262	1.7844	1.7478	1.7098	1.6826	1.6688	1.6338	1.61	1.591	1.5804	1.5684
1503	High-income countries	1.5554	1.4952	1.4912	1.491	1.4892	1.4888	1.4866	1.4882	1.4848	1.4844	1.4824	1.4798	1.4786	1.4812	1.4794	1.4806
1517	Middle-income countries	2.1204	2.0152	1.9483	1.8975	1.8734	1.8558	1.8198	1.7828	1.7486	1.7176	1.69	1.671	1.6566	1.634	1.6112	1.5966
1502	Upper-middle-income countries	1.5039	1.4228	1.412	1.4098	1.4312	1.451	1.4562	1.4508	1.452	1.4476	1.4505	1.4556	1.4608	1.462	1.4644	1.4588
1501	Lower-middle-income countries	2.4883	2.3131	2.1991	2.1123	2.0388	1.9809	1.9209	1.8687	1.8252	1.7842	1.741	1.7128	1.6912	1.6662	1.6372	1.618
1500	Low-income countries	4.3644	3.95	3.5708	3.2501	2.968	2.7389	2.5319	2.3678	2.2366	2.1302	2.0361	1.9444	1.8659	1.8021	1.7568	1.713
1518	No income group available	2.0351	1.7981	1.7164	1.6339	1.5627	1.521	1.4842	1.4614	1.4428	1.4258	1.4042	1.3936	1.3818	1.3754	1.379	1.3645
903	Africa	4.1358	3.7595	3.4296	3.1389	2.894	2.6809	2.4999	2.3452	2.2255	2.1209	2.0346	1.9486	1.8849	1.8273	1.7732	1.7336
910	Eastern Africa	4.0158	3.5319	3.1725	2.8859	2.6435	2.4517	2.301	2.1786	2.0692	1.9753	1.8975	1.8199	1.7595	1.7055	1.668	1.63
108	Burundi	4.2685	3.569	2.9603	2.5373	2.2904	2.1142	1.9869	1.8664	1.7925	1.7224	1.6647	1.6298	1.5858	1.5706	1.5274	1.5022
174	Comoros	3.5354	3.1294	2.7948	2.5409	2.3338	2.1742	2.0444	1.9587	1.8789	1.8112	1.7646	1.6884	1.6548	1.6049	1.5864	1.5517
262	Djibouti	2.2548	2.0446	1.9136	1.8192	1.7297	1.6689	1.62	1.5834	1.5436	1.5164	1.4874	1.4654	1.4534	1.4344	1.41	1.393
232	Eritrea	3.1449	2.6449	2.3338	2.1378	2.0023	1.8965	1.8126	1.7457	1.6907	1.6455	1.6038	1.575	1.5542	1.515	1.4964	1.478
231	Ethiopia	3.6502	3.1041	2.7185	2.4306	2.2175	2.0438	1.9287	1.8203	1.7481	1.6865	1.6395	1.5881	1.5594	1.5248	1.4926	1.4684
404	Kenya	3.0285	2.6804	2.4254	2.2218	2.0641	1.9384	1.8317	1.7454	1.6741	1.6141	1.568	1.5332	1.5112	1.485	1.4626	1.4394
450	Madagascar	3.3357	2.933	2.6215	2.3946	2.2201	2.0667	1.9565	1.8679	1.7946	1.7303	1.6777	1.6428	1.6018	1.572	1.5402	1.5136
454	Malawi	3.2832	2.8027	2.4508	2.2141	2.0473	1.9361	1.8535	1.7756	1.7138	1.6727	1.6299	1.5907	1.5682	1.5366	1.5102	1.4878
480	Mauritius	1.2935	1.1854	1.1642	1.1532	1.1432	1.1392	1.1314	1.1386	1.1387	1.1308	1.1299	1.1454	1.1385	1.137	1.1374	1.1386
175	Mayotte	4.1757	3.6654	3.3242	3.0624	2.829	2.6283	2.4422	2.3041	2.1798	2.0558	1.9673	1.8837	1.7994	1.7457	1.6995	1.6651
508	Mozambique	3.9733	3.4195	2.9216	2.5338	2.2575	2.0867	1.9605	1.8613	1.7882	1.7209	1.6679	1.6276	1.6	1.5682	1.5336	1.5142
638	Réunion	2.0492	1.8663	1.7626	1.6879	1.6311	1.583	1.5474	1.518	1.493	1.4674	1.4554	1.4332	1.4108	1.4054	1.3881	1.3774
646	Rwanda	3.3942	2.9621	2.6594	2.4184	2.223	2.0592	1.9463	1.8401	1.7753	1.6985	1.6499	1.6018	1.57	1.5362	1.5148	1.5024
690	Seychelles	2.0804	1.9102	1.8048	1.7275	1.666	1.622	1.5832	1.5522	1.5272	1.4968	1.4781	1.463	1.4505	1.4328	1.4215	1.4028
706	Somalia	5.7481	4.8345	4.0093	3.3462	2.8195	2.4393	2.2169	2.0476	1.9264	1.8438	1.7739	1.7048	1.6692	1.6316	1.6026	1.582
728	South Sudan	3.4568	2.9039	2.5511	2.2889	2.0935	1.9538	1.837	1.7519	1.6883	1.6348	1.6036	1.5824	1.559	1.5285	1.5062	1.4812
800	Uganda	4.0231	3.31	2.7698	2.4074	2.1705	1.9966	1.868	1.7664	1.6878	1.6417	1.6012	1.5704	1.544	1.5196	1.4844	1.469
834	United Republic of Tanzania	4.1787	3.671	3.1732	2.7438	2.4514	2.229	2.1116	1.9891	1.8951	1.8154	1.738	1.6919	1.6546	1.616	1.5826	1.5514
894	Zambia	3.7294	3.2284	2.8247	2.5279	2.282	2.1375	2.018	1.9289	1.8426	1.7807	1.7219	1.6701	1.639	1.5948	1.5736	1.561
716	Zimbabwe	3.1286	2.8054	2.5545	2.3637	2.2142	2.0731	1.9563	1.8764	1.7961	1.7239	1.6704	1.6242	1.5974	1.5616	1.5252	1.5004
911	Middle Africa	5.1793	4.6596	4.0858	3.5793	3.1767	2.8692	2.5995	2.3959	2.2365	2.1075	2.012	1.9171	1.8364	1.7755	1.7133	1.648
24	Angola	4.5818	3.9612	3.3601	2.8933	2.5372	2.3098	2.1358	2.0169	1.9039	1.8221	1.7662	1.7121	1.6637	1.6168	1.5886	1.5606
120	Cameroon	4.0322	3.5364	3.1426	2.8111	2.5364	2.3378	2.1854	2.0685	1.9697	1.879	1.8179	1.7615	1.7046	1.664	1.633	1.5944
140	Central African Republic	5.2136	4.4828	3.7354	3.1171	2.6471	2.3051	2.1004	1.9568	1.8584	1.7864	1.7183	1.6689	1.6254	1.5834	1.553	1.5278
148	Chad	5.4885	4.6603	3.9386	3.3751	2.9142	2.5744	2.3287	2.1406	1.9851	1.8775	1.8027	1.7296	1.6916	1.6386	1.6086	1.5767
178	Congo	3.5562	3.1835	2.8596	2.6165	2.4056	2.2484	2.1272	2.0181	1.933	1.8593	1.7965	1.741	1.6966	1.669	1.626	1.5976
180	Democratic Republic of the Congo	5.4612	4.7692	4.0488	3.421	2.9206	2.5622	2.3121	2.1403	2.0013	1.8801	1.8086	1.7515	1.7047	1.6634	1.62	1.5876
226	Equatorial Guinea	3.3137	2.7209	2.3658	2.1162	1.9709	1.8539	1.7682	1.6892	1.6339	1.5979	1.5686	1.535	1.5014	1.4868	1.4694	1.449
266	Gabon	2.8981	2.5941	2.3849	2.1827	2.0272	1.9287	1.8422	1.7722	1.7053	1.6585	1.616	1.5824	1.5494	1.5136	1.501	1.4824
678	Sao Tome and Principe	3.3774	2.9593	2.6178	2.378	2.2105	2.0759	1.9691	1.881	1.7881	1.7213	1.6771	1.6348	1.6084	1.5752	1.5478	1.5239
912	Northern Africa	2.9369	2.5947	2.4063	2.2608	2.1315	2.025	1.9521	1.8916	1.8235	1.7605	1.7144	1.679	1.6376	1.6048	1.5748	1.5556
12	Algeria	2.5254	2.2455	2.0395	1.875	1.7739	1.6966	1.6339	1.6009	1.5564	1.5152	1.4928	1.4676	1.4678	1.4578	1.4304	1.4168
818	Egypt	2.6749	2.4143	2.2292	2.0834	1.9569	1.8564	1.7786	1.7223	1.6799	1.6282	1.5908	1.5518	1.5146	1.4896	1.4804	1.4648
434	Libya	2.0055	1.8199	1.6851	1.5974	1.5383	1.5106	1.4714	1.4542	1.4382	1.4258	1.408	1.3916	1.385	1.3748	1.3645	1.3538
504	Morocco	1.9789	1.8349	1.7366	1.6547	1.5955	1.5496	1.5028	1.4718	1.4458	1.433	1.4162	1.3997	1.3916	1.383	1.3796	1.3704
729	Sudan	3.7459	3.3195	2.9595	2.6721	2.4394	2.2441	2.1047	1.9885	1.9087	1.8324	1.7619	1.7081	1.6688	1.6416	1.6128	1.5868
788	Tunisia	1.8694	1.733	1.6605	1.5963	1.5436	1.5038	1.4724	1.445	1.4208	1.4014	1.3865	1.3656	1.361	1.3558	1.348	1.3516
732	Western Sahara	1.8391	1.7381	1.6482	1.5789	1.5298	1.4877	1.4705	1.4397	1.4194	1.3982	1.3882	1.374	1.3754	1.366	1.349	1.3672
913	Southern Africa	2.2883	2.0333	1.8996	1.8068	1.7245	1.6579	1.613	1.5772	1.5348	1.5034	1.478	1.4594	1.4518	1.4336	1.4163	1.3937
72	Botswana	2.4852	2.2514	2.0693	1.9207	1.8109	1.7318	1.6699	1.6213	1.5724	1.5408	1.505	1.4708	1.4646	1.4572	1.4254	1.4044
748	Eswatini	2.4492	2.1927	2.0407	1.9105	1.8143	1.7232	1.6613	1.6161	1.5656	1.5382	1.5006	1.4686	1.4372	1.4204	1.408	1.3934
426	Lesotho	2.6112	2.3923	2.209	2.0609	1.9381	1.8561	1.7782	1.712	1.6586	1.6155	1.5849	1.5549	1.5269	1.4975	1.4735	1.4649
516	Namibia	2.8385	2.5955	2.3933	2.2168	2.0747	1.9677	1.8762	1.8002	1.7399	1.6799	1.6312	1.5878	1.5544	1.5176	1.4922	1.4744
710	South Africa	2.1168	1.9332	1.8066	1.7201	1.6425	1.5789	1.5378	1.5096	1.4688	1.4426	1.4178	1.4008	1.3938	1.3796	1.3628	1.3487
914	Western Africa	4.6777	4.0918	3.6178	3.2254	2.9309	2.6864	2.4745	2.3005	2.1787	2.0711	1.9782	1.9022	1.8377	1.7847	1.7334	1.6914
204	Benin	4.4159	3.9306	3.5158	3.1423	2.8152	2.5379	2.35	2.199	2.0735	1.9877	1.89	1.8243	1.7557	1.7182	1.6798	1.6344
854	Burkina Faso	4.2507	3.5205	2.9285	2.5037	2.2426	2.0692	1.9455	1.857	1.7725	1.7115	1.6623	1.6042	1.5724	1.5574	1.5286	1.5158
132	Cabo Verde	1.6855	1.5648	1.4998	1.4583	1.4316	1.4076	1.3922	1.367	1.3516	1.3374	1.3314	1.3268	1.3094	1.306	1.302	1.2942
384	Côte d'Ivoire	3.9981	3.5663	3.2255	2.9267	2.6891	2.4815	2.3036	2.167	2.0517	1.9617	1.8821	1.8143	1.7613	1.7081	1.659	1.6254
270	Gambia	4.052	3.4012	2.8459	2.4312	2.1871	1.9963	1.8758	1.7852	1.7295	1.6753	1.6261	1.593	1.5628	1.5378	1.5092	1.4806
288	Ghana	3.2138	2.8596	2.5985	2.3889	2.2257	2.0941	1.9855	1.8994	1.8087	1.7415	1.6893	1.632	1.6	1.5692	1.5368	1.5282
324	Guinea	3.8794	3.2841	2.8244	2.4726	2.2095	2.0491	1.9451	1.8591	1.7658	1.7007	1.6544	1.6114	1.5714	1.5464	1.5248	1.5023
624	Guinea-Bissau	3.5164	3.0031	2.5912	2.3146	2.1432	1.998	1.8741	1.8003	1.7279	1.6768	1.6328	1.602	1.5712	1.545	1.5276	1.5032
430	Liberia	3.5577	3.0859	2.6977	2.4058	2.2132	2.072	1.9551	1.8662	1.7945	1.7199	1.6701	1.62	1.5878	1.5506	1.5244	1.509
466	Mali	5.2769	4.5331	3.8436	3.2579	2.8034	2.4674	2.2463	2.0809	1.9534	1.8497	1.7713	1.7094	1.6586	1.621	1.5936	1.5564
478	Mauritania	3.6258	3.1678	2.7908	2.5021	2.292	2.1234	1.993	1.9017	1.8213	1.7599	1.7005	1.6613	1.6239	1.5836	1.5658	1.5338
562	Niger	6.2033	5.4916	4.7577	4.0812	3.4797	2.9739	2.6125	2.3562	2.1734	2.0272	1.9132	1.8329	1.7755	1.7214	1.6691	1.629
566	Nigeria	4.5406	3.9381	3.3182	2.812	2.4786	2.2271	2.0473	1.9147	1.8199	1.7451	1.6908	1.6408	1.6098	1.5778	1.5399	1.51
654	Saint Helena	1.4144	1.3699	1.3415	1.3239	1.3119	1.3024	1.2966	1.2815	1.2632	1.2554	1.2564	1.2562	1.2549	1.2516	1.2561	1.2562
