country_code	name	age	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	0	0.14783528	0.13414036	0.12464598	0.1094814	0.09933101	0.08970104	0.07886596	0.07026567	0.06447056	0.05883961	0.05034986	0.04129711	0.03406803	0.0289959	0.02607329	0.02325132	0.02071713	0.01852304	0.0166329	0.01512524	0.01394376	0.01289398	0.01190018	0.01097275	0.01014901	0.00945368	0.00887362	0.00837118	0.00792329	0.00749882
900	World	1	0.02302781	0.02021166	0.01896108	0.0149265	0.0130479	0.01112146	0.00963543	0.00832951	0.00725901	0.00651703	0.00535176	0.004144	0.00319919	0.0025564	0.00226687	0.00222603	0.00206548	0.00190535	0.00174498	0.00160177	0.00148284	0.00137379	0.00126572	0.00115887	0.00105535	0.00096258	0.00088027	0.0008098	0.00074619	0.000686
900	World	5	0.00583387	0.00514426	0.00495561	0.00388196	0.00358765	0.0030263	0.00269251	0.00247961	0.00219843	0.00201708	0.00179788	0.0015703	0.00132084	0.00114788	0.00103381	0.001019	0.00097701	0.00091165	0.00084042	0.00076972	0.00070548	0.00064995	0.00059803	0.00054785	0.00049816	0.00045	0.00040671	0.00036955	0.00033681	0.00030612
900	World	10	0.0033512	0.00304197	0.00287416	0.00227227	0.00196273	0.0016821	0.00141251	0.00129577	0.00121782	0.00111038	0.00100089	0.00090765	0.00079159	0.00069892	0.00063407	0.00059542	0.00057739	0.00055344	0.00051816	0.00048114	0.00044431	0.00041035	0.00038117	0.00035446	0.00032854	0.00030258	0.00027739	0.00025524	0.00023581	0.00021814
900	World	15	0.00394511	0.00348596	0.0032746	0.0026785	0.00235178	0.00210434	0.00174673	0.00159654	0.00156163	0.00147085	0.00134453	0.00118991	0.00105945	0.00094254	0.00089222	0.00081301	0.00076242	0.00073976	0.00070965	0.00066658	0.00062179	0.00057672	0.00053586	0.00050166	0.00047067	0.00043996	0.00040906	0.0003794	0.00035277	0.00032876
900	World	20	0.00475047	0.00424726	0.00393331	0.00336812	0.00287909	0.00253702	0.00215708	0.00190098	0.00182318	0.00181103	0.00171806	0.00150884	0.00127554	0.00112557	0.00109298	0.00101479	0.00095705	0.00090468	0.00088347	0.00085396	0.00080842	0.00075956	0.00071016	0.00066537	0.00062809	0.00059385	0.00055935	0.00052436	0.00049002	0.00045824
900	World	25	0.0052305	0.00468521	0.0044542	0.003797	0.00331589	0.00278101	0.00233222	0.0021236	0.00201594	0.00195477	0.00191698	0.00172924	0.00144621	0.00124997	0.00124341	0.00116974	0.00112834	0.00107204	0.00101936	0.00100069	0.0009722	0.00092453	0.00087313	0.00082033	0.00077208	0.00073131	0.00069348	0.00065519	0.00061552	0.00057556
900	World	30	0.0059384	0.00512978	0.00487033	0.00428875	0.00370398	0.00314781	0.00258264	0.00234024	0.00229147	0.00215613	0.00208488	0.00193349	0.00164864	0.00143551	0.00140689	0.00132408	0.00129492	0.00125518	0.00119785	0.00114313	0.00112596	0.00109697	0.00104625	0.00099085	0.00093328	0.00087983	0.00083404	0.00079156	0.0007477	0.0007011
900	World	35	0.0068015	0.00610845	0.00558771	0.00492203	0.00435528	0.00372236	0.00316093	0.00278084	0.00265616	0.00257571	0.00241239	0.00219029	0.00195173	0.00178557	0.00177556	0.0015768	0.00156415	0.00153199	0.0014863	0.00142021	0.00135794	0.00133954	0.00130743	0.00124952	0.00118624	0.00111986	0.0010575	0.00100406	0.00095365	0.00090016
900	World	40	0.00784576	0.00726349	0.00689032	0.0058379	0.00524026	0.00463395	0.00399363	0.00360449	0.00335098	0.00317292	0.00302207	0.00267894	0.00241425	0.00227576	0.0023641	0.00205052	0.001959	0.00194269	0.00190283	0.00184805	0.00177285	0.00170267	0.00168651	0.00165299	0.00158826	0.0015172	0.00144089	0.00136874	0.00130647	0.0012463
900	World	45	0.00949438	0.00864544	0.00848454	0.00748856	0.00660616	0.00586856	0.00522425	0.00477168	0.00450422	0.00420275	0.0039163	0.00368636	0.00322486	0.00298326	0.00318162	0.00277319	0.00263186	0.00251947	0.00249525	0.0024399	0.00236793	0.00227242	0.00218471	0.00216253	0.00211981	0.00203986	0.001951	0.00185469	0.00176299	0.00168267
900	World	50	0.01278472	0.01173815	0.01123835	0.01029795	0.00942667	0.0082189	0.00746699	0.00690613	0.00654522	0.00618109	0.00560571	0.00509687	0.00484006	0.00456703	0.00477577	0.00416093	0.00400892	0.00380114	0.00363458	0.00358833	0.00349918	0.00338511	0.00324054	0.00311169	0.00307722	0.00301777	0.00290455	0.00277842	0.00264196	0.0025115
900	World	55	0.01737285	0.01582297	0.01516202	0.01371045	0.01312472	0.01175354	0.0105816	0.00987294	0.00945422	0.00898652	0.00821027	0.00733743	0.00684437	0.00671534	0.00694247	0.00581487	0.00566043	0.00546222	0.00518426	0.00495898	0.00490001	0.00478214	0.0046279	0.00443191	0.00425694	0.00421301	0.00413061	0.00397072	0.00379387	0.00360142
900	World	60	0.02714631	0.02463048	0.02321309	0.02110297	0.01977178	0.01833014	0.01699521	0.01558623	0.01494822	0.01418036	0.01306737	0.0119341	0.01084113	0.01017919	0.01098227	0.00893358	0.00843256	0.00819545	0.00789839	0.00750865	0.00719091	0.00709779	0.00693108	0.00672205	0.00645546	0.00622235	0.00617139	0.00605746	0.00583222	0.00558061
