country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
902	Less developed regions	42.8329	43.4887	44.4184	44.964	45.7679	46.3795	46.9248	47.3666	47.8764	45.2958	43.2826	46.3112	49.7907	50.4053	51.0643	51.0025	51.6178	52.192	52.9955	53.4967	53.7549	53.9047	54.9851	55.6507	56.1369	56.5505	57.0233	57.8141	58.3772	58.9722	59.5093	60.0696	60.5854	60.8434	61.2654	61.6827	62.1989	62.6805	62.892	63.4357	63.7088	63.7196	64.0995	64.4679	64.4614	64.957	65.1292	65.4915	65.7798	66.1985	66.6187	67.1379	67.5182	67.9296	68.2182	68.7351	69.2264	69.5967	69.8358	70.372	70.7118	71.1648	71.5866	71.9662	72.3059	72.598	72.9251	73.238	73.4924	73.709	73.2177	72.1181	2021
941	Least developed countries	37.7941	38.1485	38.6764	39.0492	39.6211	40.0718	40.4691	40.2882	40.617	41.7067	42.0136	42.4791	42.9199	43.0734	43.7916	43.7591	44.0739	44.7076	45.063	45.3101	43.9529	41.9974	45.856	46.4685	46.3609	45.627	45.6183	47.4397	48.0169	48.4958	48.9477	49.2658	49.6326	48.7307	48.9363	49.3103	50.0002	50.6416	50.1441	51.3414	51.5796	51.1114	51.719	52.3496	51.6326	53.5413	53.6291	54.4033	54.5849	55.9214	56.4027	56.946	57.5046	58.1926	58.7091	59.3732	60.0171	60.5548	60.6836	61.8196	62.274	63.1601	63.8996	64.5774	64.9632	65.3973	65.9827	66.3844	66.8554	67.301	66.8064	66.4693	2021
934	Less developed regions, excluding least developed countries	43.617	44.3089	45.2866	45.8509	46.6831	47.3156	47.8855	48.4245	48.9672	45.8262	43.4843	46.9089	50.8773	51.5437	52.1785	52.1062	52.7742	53.3472	54.2293	54.7792	55.3267	55.89	56.4513	57.1409	57.7576	58.4126	58.987	59.6137	60.1984	60.8329	61.3968	61.999	62.534	63.0534	63.5246	63.9557	64.424	64.8531	65.2334	65.6172	65.9008	66.0466	66.3946	66.7242	66.875	67.117	67.3282	67.6267	67.9676	68.2019	68.6106	69.1191	69.4664	69.8296	70.0725	70.5584	71.018	71.349	71.6098	72.0128	72.3406	72.7022	73.0612	73.3847	73.72	73.9917	74.2708	74.5737	74.7925	74.9767	74.4852	73.2688	2021
948	Less developed regions, excluding China	41.7042	42.2632	43.1493	43.6962	44.5238	45.1747	45.7544	46.1375	46.6774	47.3846	47.8508	48.3057	48.7176	49.1301	49.6548	49.1963	49.8101	50.3846	51.2149	51.6403	51.6547	51.5586	52.7825	53.383	53.8051	54.2027	54.6408	55.561	56.1492	56.7475	57.2741	57.8148	58.2913	58.5395	58.9637	59.3688	59.8819	60.3302	60.5194	61.1331	61.4494	61.5959	61.9436	62.2817	62.2533	62.7659	62.9723	63.3537	63.5525	64.131	64.4865	64.844	65.2377	65.6628	65.9296	66.4807	67.0035	67.3772	67.6512	68.1852	68.5461	69.03	69.4487	69.8767	70.2254	70.537	70.8649	71.1818	71.4514	71.7013	70.9805	69.5696	2021
1636	Land-locked Developing Countries (LLDC)	41.3808	41.7126	42.1302	42.5428	42.9541	43.3793	43.7895	42.8325	43.2462	45.041	45.4523	45.902	46.268	46.5791	47.1102	47.2264	46.9139	47.6569	47.8883	48.0827	48.3173	48.5654	48.0849	48.7797	48.712	48.967	49.8531	50.149	50.4857	50.8911	51.2707	51.7879	52.1615	50.4176	50.4085	50.8334	51.3929	52.8364	52.0081	53.568	53.5122	53.6676	53.3445	53.2715	50.8973	54.0377	54.1112	54.3091	53.8004	54.9915	55.4182	55.6675	56.3455	57.0208	57.8176	58.558	59.4008	60.1487	60.9803	61.7928	62.5517	63.3703	64.086	64.7947	65.2951	65.7926	66.4203	66.8157	67.2323	67.5915	66.7935	66.5216	2021
1637	Small Island Developing States (SIDS)	50.8276	50.9171	51.9292	52.7085	53.5155	54.3215	54.9846	55.6041	56.2204	56.7455	57.3451	57.8322	58.3309	58.2932	59.3195	59.8174	60.2259	60.6795	61.0155	61.4446	61.9052	62.3351	62.71	63.1242	63.4272	63.4396	63.7897	63.9126	63.9885	64.1784	64.7928	65.0943	65.4394	65.7007	66.0103	66.3184	66.6796	67.0786	67.389	67.6955	67.922	68.2398	68.4904	68.7871	68.9407	69.2926	69.6183	69.8329	70.0527	70.4333	71.0457	71.2339	71.4984	71.7215	71.6465	72.308	72.5436	72.7903	73.1257	73.484	69.3191	73.9429	74.2156	74.4302	74.6075	74.8487	74.9763	75.09	75.2141	75.4181	75.3694	73.8614	2021
1503	High-income countries	65.0254	65.6873	66.9236	67.5053	68.387	68.869	69.1276	69.2324	70.1856	70.3918	70.81	71.2689	71.2569	71.581	72.2219	72.3624	72.6859	73.0107	72.9749	73.1001	73.4608	73.8001	74.1244	74.3035	74.7046	74.9847	75.2569	75.7181	75.9328	76.3157	76.3258	76.7352	77.0288	77.084	77.4716	77.5214	77.7894	78.083	78.2311	78.4687	78.6924	78.8969	79.1914	79.2082	79.5187	79.5971	79.8324	80.1052	80.2761	80.3665	80.687	80.9314	81.0397	81.0789	81.5354	81.6227	81.963	82.1456	82.3047	82.5748	82.7571	82.8739	82.9605	83.1353	83.3541	83.2263	83.4481	83.4766	83.6331	83.85	83.1672	83.0926	2021
1517	Middle-income countries	44.8655	45.3446	46.1509	46.6711	47.4572	48.0965	48.743	49.2426	49.8167	46.8727	44.7104	47.9368	51.5906	52.1937	52.8166	52.6704	53.3187	53.8118	54.6309	55.0875	55.3198	55.4305	56.6018	57.2199	57.7463	58.1432	58.5585	59.3805	59.9394	60.4999	61.0286	61.5687	62.0969	62.5537	62.9521	63.3484	63.9053	64.2997	64.6235	64.9808	65.2209	65.2656	65.6393	65.7969	65.9248	66.2119	66.433	66.7883	67.187	67.4224	67.7936	68.2945	68.6236	68.9668	69.2576	69.735	70.2191	70.5763	70.7706	71.2959	71.5985	72.0732	72.4852	72.8468	73.1958	73.4827	73.8038	74.1148	74.3355	74.5447	73.955	72.736	2021
1502	Upper-middle-income countries	48.3506	48.9801	49.8925	50.5123	51.3081	51.9741	52.7943	53.2982	53.974	47.6674	43.1786	49.123	56.2771	56.8121	57.4738	58.0866	58.6276	59.1385	59.6753	60.1509	60.7379	61.5638	62.2605	63.043	63.7666	64.3558	64.9704	65.6407	66.1913	66.7011	67.1888	67.7251	68.1722	68.5875	68.9007	69.2279	69.8197	70.1765	70.3964	70.6889	70.8166	70.89	71.3054	71.5134	71.6444	72.0635	72.3332	72.6615	73.1338	73.0917	73.5376	74.1983	74.3931	74.6404	75.008	75.3187	75.715	76.0662	76.2616	76.7267	76.9993	77.4024	77.7601	78.0348	78.3109	78.5641	78.8613	79.1395	79.3722	79.5717	79.0292	78.5215	2021
1501	Lower-middle-income countries	41.409	41.6994	42.324	42.7375	43.5132	44.1453	44.6759	45.1697	45.7095	46.2651	46.6803	47.0663	47.4321	47.8195	48.2962	47.4567	48.2155	48.7572	49.7793	50.2098	50.1325	49.6891	51.3319	51.8978	52.3738	52.7697	53.1595	54.2515	54.9139	55.5542	56.1423	56.6907	57.254	57.8209	58.2934	58.7173	59.1764	59.5325	59.9412	60.3326	60.6483	60.8217	61.2547	61.4521	61.6469	61.8786	62.1148	62.5469	62.9303	63.4351	63.7471	64.1416	64.5977	65.0212	65.2412	65.8175	66.3349	66.6696	66.8378	67.3743	67.6891	68.1884	68.5868	69.0072	69.3811	69.7035	70.0276	70.3514	70.5996	70.8296	70.2122	68.5115	2021
1500	Low-income countries	35.0694	36.2006	38.1435	38.8684	39.6445	40.0981	40.5112	39.8315	40.1243	41.6532	42.0459	42.4068	42.7273	43.0268	43.6207	43.7238	43.5048	44.286	44.6252	44.9107	45.2163	45.7158	45.4	46.16	46.1172	46.3697	47.1682	47.5013	47.7865	48.2122	48.5853	48.8594	49.1406	47.5247	47.5168	47.8677	48.787	49.594	48.7014	50.6554	50.8136	50.4242	50.2737	51.1804	49.5966	51.9776	52.1394	52.5671	52.1223	53.5627	54.1523	54.6332	55.1478	56.1416	56.7113	57.4203	58.273	59.0507	59.7428	60.5719	61.142	61.8133	62.3192	62.888	63.3182	63.7881	64.3737	64.8259	65.3085	65.7074	65.2946	64.9697	2021
1518	No income group available	53.4194	53.9731	54.6838	55.2502	55.9182	56.815	57.4049	57.6956	58.819	59.664	60.8086	61.3576	61.6419	62.1426	62.6218	63.3664	63.9903	64.3388	64.9642	65.1341	66.3649	66.9761	67.553	68.0687	68.6617	69.2485	69.6543	70.3076	70.7322	70.8641	71.0461	71.7049	71.9975	72.4454	72.5394	72.6799	73.0957	73.1477	73.4612	73.7341	73.6975	74.2307	74.1954	74.5233	74.5876	74.7942	74.7027	75.3909	75.6427	75.2564	76.0167	75.1151	76.2561	75.7721	76.2092	76.5615	76.7736	77.1745	76.809	76.8613	77.0439	77.0103	77.3231	77.2377	76.9993	77.1444	76.6786	76.1776	76.3787	76.5137	75.7788	75.1859	2021
