country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	49.7284	52.1875	53.6164	56.9169	59.0562	61.5152	63.7555	65.5517	66.8008	67.9602	69.6867	71.6553	73.5254	74.996	2021
1834	Sub-Saharan Africa	39.4098	41.0936	43.1303	44.459	46.039	48.3564	49.7445	50.4754	50.6797	51.3467	52.7216	55.6206	59.1551	61.7178	2021
1833	Northern Africa and Western Asia	44.6058	47.725	50.6491	53.2875	56.1833	59.4507	62.7409	65.465	67.9628	69.7164	71.6595	73.1045	74.3399	75.5886	2021
1831	Central and Southern Asia	40.8413	43.4126	45.4978	46.8432	48.9872	52.4367	55.7292	58.5029	60.6633	62.7193	65.3328	67.7057	69.8741	71.922	2021
1832	Eastern and South-Eastern Asia	47.7624	50.0799	50.6068	57.7552	61.3881	64.8593	67.8522	69.8888	71.426	73.1492	75.2597	76.975	78.3798	79.6263	2021
1830	Latin America and the Caribbean	51.9836	55.1789	58.0596	60.366	62.4657	65.0163	67.3375	69.6018	71.6889	73.4492	75.1659	76.4146	77.2605	78.0533	2021
1835	Oceania (excluding Australia and New Zealand)	44.696	48.8854	52.3649	55.8241	58.7859	61.4065	63.5083	65.0583	65.8638	66.4353	66.7827	67.1062	68.6699	70.0365	2021
1836	Australia/New Zealand	72.144	73.4938	74.2226	74.4105	75.117	76.8872	78.2722	78.9749	80.3788	81.3304	82.5026	83.4817	84.2512	84.897	2021
1829	Europe and Northern America	67.7197	70.7255	72.5349	73.4214	74.1583	75.1765	75.9796	76.8697	77.4158	77.895	78.5964	79.7708	80.9564	81.7732	2021
901	More developed regions	67.3693	70.5488	72.4756	73.5122	74.3621	75.4821	76.3633	77.3213	77.9491	78.5208	79.3247	80.4994	81.6339	82.4593	2021
902	Less developed regions	44.2345	46.7107	48.1596	52.2655	54.9109	57.8031	60.4919	62.6137	64.137	65.572	67.55	69.6186	71.6149	73.2631	2021
941	Least developed countries	38.6529	40.6138	42.8416	44.5775	44.9042	47.0477	49.0834	50.2934	51.6803	54.4363	57.5811	60.5275	63.8342	66.4511	2021
934	Less developed regions, excluding least developed countries	45.0853	47.6182	48.9757	53.4536	56.5404	59.6671	62.5475	64.859	66.4441	67.7163	69.4914	71.3796	73.1116	74.5927	2021
948	Less developed regions, excluding China	43.02	46.1922	48.7205	50.459	52.6529	55.4881	58.2007	60.2782	61.9412	63.401	65.2855	67.3975	69.4869	71.2126	2021
1636	Land-locked Developing Countries (LLDC)	42.1013	43.6271	46.2453	47.5643	48.4923	50.0715	51.1694	52.1231	52.8828	54.262	56.4798	60.2144	64.0719	66.8302	2021
1637	Small Island Developing States (SIDS)	51.9574	55.5673	58.2288	60.6669	62.7465	63.915	65.4549	67.0789	68.524	69.9018	71.4855	72.9117	73.3378	75.1701	2021
1503	High-income countries	66.7291	69.6062	71.4704	72.869	74.1199	75.6864	76.9698	78.0564	79.136	80.0692	81.0905	82.1641	83.0572	83.5661	2021
1517	Middle-income countries	46.0275	48.4983	49.8389	53.914	56.4903	59.3574	62.0789	64.2664	65.6149	66.8689	68.6497	70.5822	72.5044	74.124	2021
1502	Upper-middle-income countries	49.7608	51.8464	52.4259	59.1535	62.3065	65.6285	68.1736	70.1188	71.2808	72.7118	74.4165	76.0859	77.7699	79.1702	2021
1501	Lower-middle-income countries	42.2654	45.1498	47.4412	48.8888	51.0927	54.1516	57.2633	59.5681	61.201	62.6272	64.5984	66.6589	68.6275	70.366	2021
1500	Low-income countries	37.5836	40.4268	42.7528	44.1933	45.7067	47.4142	48.2857	49.117	50.4272	52.4787	55.3819	59.051	62.3435	64.8612	2021
1518	No income group available	54.6879	58.1295	61.7794	64.4375	67.624	70.2631	72.0466	73.3184	74.3386	75.2454	75.9493	76.9137	77.1963	76.6317	2021
903	Africa	39.6839	41.7609	43.9222	45.4278	47.1911	49.7662	51.5936	52.7196	53.2999	54.0859	55.5268	58.2356	61.4953	63.8533	2021
910	Eastern Africa	40.9961	42.3802	45.3938	46.5492	47.2805	48.5767	49.2518	49.4669	48.9257	50.4932	52.9667	57.4296	62.2124	65.6837	2021
108	Burundi	42.3903	43.7614	44.8622	44.5017	39.1018	44.917	48.5412	48.3306	44.3601	47.4426	51.7578	56.3484	59.9188	63.2194	2021
174	Comoros	36.524	39.0026	40.8494	43.5648	48.1044	50.7594	53.497	55.7351	57.8844	60.0305	60.8227	62.0779	63.9196	65.8391	2021
262	Djibouti	43.0909	44.3787	46.0523	48.0126	50.4754	52.7133	54.765	56.7046	57.6661	57.9201	58.7683	60.9114	63.0714	65.1217	2021
232	Eritrea	36.1232	38.0705	40.5136	42.1757	43.8564	46.1317	47.6722	49.8622	53.6438	56.5464	60.3655	63.8039	66.6682	68.7132	2021
231	Ethiopia	39.1279	38.2937	43.7704	44.4587	43.7785	44.0941	42.4632	43.9674	48.1681	50.3182	52.5956	58.1068	63.8359	67.7694	2021
404	Kenya	41.555	47.1561	51.652	53.9934	56.6366	58.1588	62.3332	61.5273	59.312	56.582	56.3247	60.4293	63.1937	64.8197	2021
450	Madagascar	41.218	43.0937	45.1014	47.0707	49.2496	50.8269	50.9443	51.6559	54.5576	57.6987	60.1103	63.2923	65.691	67.3512	2021
454	Malawi	34.2217	35.923	37.2726	37.3885	39.1269	43.9743	47.9011	45.9817	45.5931	45.4282	49.0849	55.7692	61.3317	66.4441	2021
480	Mauritius	53.2665	56.7283	60.0842	62.1	64.4046	67.8529	70.3714	71.853	73.9217	74.5716	75.5549	76.9301	77.8898	78.1991	2021
175	Mayotte	45.9236	53.1692	58.2308	62.4218	66.074	69.3012	71.8122	73.8247	75.6951	77.3745	78.6463	79.7427	80.7719	80.9212	2021
508	Mozambique	39.0389	41.1011	42.8061	43.122	43.3358	43.9488	42.5179	44.7865	46.7043	48.9557	51.9754	54.0643	57.6276	62.3316	2021
