country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	4.9294	4.9406	4.9498	4.9459	4.5484	3.896	3.6616	3.4473	3.0756	2.7985	2.6781	2.6122	2.5727	2.4807	2021
1834	Sub-Saharan Africa	6.5103	6.5616	6.6342	6.7014	6.7685	6.7985	6.7143	6.497	6.1741	5.8659	5.6439	5.4642	5.1576	4.8321	2021
1833	Northern Africa and Western Asia	6.5755	6.5187	6.5682	6.407	6.1561	5.8151	5.4195	4.8579	4.2093	3.6308	3.2507	3.0993	3.1171	2.9893	2021
1831	Central and Southern Asia	5.9484	6.0598	6.1338	6.0023	5.709	5.3203	4.9912	4.6162	4.122	3.6618	3.3008	2.9146	2.6259	2.414	2021
1832	Eastern and South-Eastern Asia	5.6414	5.4221	5.3195	5.5863	4.7941	3.3177	2.9899	2.7595	2.1945	1.853	1.7988	1.8422	1.8938	1.8184	2021
1830	Latin America and the Caribbean	5.8102	5.8554	5.8292	5.4823	4.9801	4.4646	3.9669	3.502	3.1095	2.7902	2.4901	2.2747	2.1441	2.0046	2021
1835	Oceania (excluding Australia and New Zealand)	5.9898	6.1351	6.2242	6.1427	5.8928	5.5528	5.187	4.8705	4.572	4.2844	4.0472	3.8249	3.5908	3.3344	2021
1836	Australia/New Zealand	3.2299	3.4969	3.5191	2.9841	2.719	2.0556	1.9221	1.8931	1.9079	1.8205	1.7992	1.9666	1.9249	1.7846	2021
1829	Europe and Northern America	2.767	2.8029	2.7312	2.4533	2.1801	1.9385	1.859	1.8331	1.7175	1.5816	1.6005	1.6906	1.6904	1.6258	2021
901	More developed regions	2.79	2.7363	2.6528	2.4054	2.1901	1.9419	1.8494	1.8111	1.6893	1.5634	1.5797	1.6671	1.6736	1.6088	2021
902	Less developed regions	6.0421	6.0249	6.0132	6.0497	5.4977	4.62	4.2614	3.9194	3.4237	3.074	2.9002	2.7858	2.7204	2.6136	2021
941	Least developed countries	6.5043	6.5811	6.6792	6.7255	6.7478	6.6625	6.5484	6.2157	5.7891	5.4128	5.0667	4.7347	4.4034	4.1487	2021
934	Less developed regions, excluding least developed countries	5.982	5.9501	5.9229	5.9625	5.3369	4.3536	3.9708	3.6323	3.1254	2.7663	2.5995	2.494	2.4414	2.3239	2021
948	Less developed regions, excluding China	6.0207	6.112	6.1456	5.9911	5.7028	5.3066	4.9501	4.5229	4.0801	3.6924	3.4034	3.1814	3.0188	2.8548	2021
1636	Land-locked Developing Countries (LLDC)	6.227	6.3086	6.4268	6.311	6.2212	6.1495	6.04	5.9066	5.5907	5.2604	4.9503	4.6935	4.4014	4.1339	2021
1637	Small Island Developing States (SIDS)	5.4181	5.5128	5.563	5.2011	4.6109	3.8893	3.5166	3.3234	3.1097	2.9075	2.7671	2.6163	2.5348	2.385	2021
1503	High-income countries	2.9751	2.9844	2.9534	2.686	2.3779	2.0586	1.9255	1.8294	1.7843	1.6923	1.6754	1.7238	1.6971	1.6365	2021
1517	Middle-income countries	5.6374	5.6071	5.6004	5.6525	5.1498	4.3002	3.9752	3.6664	3.1541	2.7935	2.631	2.5247	2.4738	2.3672	2021
1502	Upper-middle-income countries	5.47	5.3009	5.2235	5.433	4.6782	3.3339	3.0158	2.8203	2.2463	1.9155	1.8369	1.8534	1.9126	1.8451	2021
1501	Lower-middle-income countries	5.8157	5.9338	6.0057	5.9114	5.6888	5.3491	5.0343	4.6087	4.1208	3.6686	3.3643	3.103	2.9132	2.7334	2021
1500	Low-income countries	6.4246	6.4793	6.4967	6.6324	6.7064	6.6777	6.6715	6.6149	6.4273	6.1938	5.9028	5.5929	5.2185	4.8863	2021
