country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
900	World	92083.258	92836.9	97606.684	97555.839	100348.054	101807.356	101827.191	105977.909	104557.392	101921.643	102262.439	100989.852	112053.316	119818.714	117393.293	117932.234	117182.361	116839.776	121750.025	122122.848	124117.185	123647.417	123275.037	123269.476	122436.994	120491.005	120647.815	120040.242	121337.099	124287.659	126793.222	129152.54	132513.06	130982.626	133397.031	135419.518	138419.612	140544.952	139993.375	141176.68	142451.012	137391.599	135753.655	134692.831	134185.338	133673.134	133052.993	132597.541	132286.772	132364.211	134014.028	133877.73	134020.459	134302.047	135228.145	135800.237	136909.897	138562.817	140164.401	141200.888	141633.32	142134.919	144194.06	143421.589	143670.855	142608.081	143238.9	142624.116	139628.713	137984.248	135132.602	133974.696
1834	Sub-Saharan Africa	8369.119	8560.738	8745.905	8943.743	9126.491	9323.596	9534.329	9752.466	9970.165	10188.125	10433.673	10707.768	10987.059	11260.695	11540.499	11834.639	12136.502	12446.218	12770.625	13113.846	13452.379	13827.208	14175.77	14525.749	14926.627	15337.389	15733.277	16157.348	16579.946	17057.957	17500.526	17921.273	18394.667	18912.802	19376.693	19862.065	20343.331	20821.866	21233.126	21679.575	22085.617	22539.808	22964.536	23435.468	23866.366	24444.652	24940.7	25335.775	25780.233	26413.546	26981.812	27595.79	28189.194	28786.303	29438.708	30161.528	30822.27	31460.384	32191.254	32751.98	33343.322	33941.37	34415.606	34881.031	35399.651	35920.635	36454.411	37027.031	37653.245	38297.204	38844.136	39440.607
1833	Northern Africa and Western Asia	4866.545	4991.881	5132.626	5260.227	5362.919	5445.885	5566.376	5625.017	5742.076	5878.709	5995.138	6132.184	6297.442	6399.99	6496.363	6580.264	6677.102	6749.123	6877.365	7012.196	7165.447	7328.497	7456.948	7579.233	7721.387	7870.8	8018.214	8190.532	8371.285	8546.846	8712.617	8866.748	9023.597	9183.225	9300.187	9400.64	9459.625	9496.953	9529.133	9518.945	9496.468	9480.699	9516.112	9510.753	9526.848	9469.14	9439.375	9424.014	9444.987	9465.675	9496.839	9614.193	9582.404	9675.066	9798.211	9955.971	10194.993	10469.936	10725.525	10966.993	11273.869	11509.42	11714.564	11905.913	12043.002	12097.57	11889.945	11847.973	11773.895	11701.896	11658.367	11571.283
1831	Central and Southern Asia	21699.909	22257.285	22840.842	23410.211	23976.005	24462.217	24946.857	25442.601	25899.317	26332.636	26902.638	27428.862	27963.353	28467.045	28979.486	29390.434	29771.141	30241.307	30661.866	31094.108	31622.395	32232.524	32731.593	33304.299	33848.685	34171.75	34830.821	35131.309	35625.723	36433.683	37257.993	38038.369	38652.68	39228.999	39914.936	40329.125	41011.212	41075.164	41304.919	41494.106	41503.294	41743.548	41797.957	41715.686	41826.96	41832.211	41744.985	41800.845	41873.581	41923.83	42261.146	42588.904	42489.928	42253.092	42060.04	41571.745	41241.379	41262.729	41154.973	41212.345	41054.373	40887.97	40780.178	40644.681	39847.354	39729.889	39678.469	39082.239	39022.531	38355.356	37921.609	37857.523
1832	Eastern and South-Eastern Asia	33503.205	33069.936	36626.282	35439.345	37036.542	37514.262	36408.991	39419.259	37075.667	33405.125	32690.955	30362.207	40542.309	47433.356	44254.671	44504.708	43235.984	42030.715	46140.837	45519.717	46316.811	44658.457	43640.024	42772.421	40666.808	37863.323	36699.543	34986.429	35044.842	36252.819	37105.398	38085.748	39993.977	37190.629	38281.816	39245.835	40975.071	42467.057	41255.329	41983.23	43002.011	37694.38	35989.324	34984.798	34218.509	33509.742	32677.912	31960.544	31219.889	30719.609	31378.54	30367.416	30121.842	29914.555	30146.407	30307.417	30668.522	31191.846	31727.486	31984.893	31791.619	31770.595	33277.417	32200.517	32556.098	31166.268	31824.708	31735.757	28663.243	27663.636	25183.148	23725.927
1830	Latin America and the Caribbean	7345.6	7537.874	7722.658	7910.601	8100.819	8286.069	8480.058	8677.852	8863.781	9047.446	9243.503	9438.786	9633.491	9816.509	9950.758	10051.114	10142.844	10214.024	10285.757	10391.623	10503.772	10618.745	10746.454	10876.543	10970.139	11087.029	11227.047	11354.069	11490.295	11591.784	11681.707	11782.874	11866.167	11920.475	11965.297	12010.424	12037.433	12043.016	12024.289	12036.791	12020.339	12004.315	11962.025	11976.205	11951.249	11926.902	11855.982	11804.534	11751.676	11694.202	11600.07	11486.301	11357.25	11210.328	11170.991	11123.733	11032.286	10952.828	10893.213	10883.136	10857.923	10855.891	10780.87	10721.91	10694.531	10631.279	10418.91	10369.771	10263.508	10039.017	9854.193	9708.71
1835	Oceania (excluding Australia and New Zealand)	109.178	112.898	116.677	120.267	123.247	126.692	129.588	132.87	135.633	138.085	140.853	143.438	146.994	149.343	152.076	154.606	157.716	159.929	162.684	165.577	168.009	170.146	171.814	172.683	173.745	175.45	177.359	179.086	180.57	182.365	184.572	187.56	190.762	194.998	198.697	202.485	205.743	209.326	212.783	215.445	218.774	221.556	225.422	230.164	234.04	237.779	242.997	248.109	253.417	259.494	264.905	270.061	274.9	279.875	283.911	288.144	293.16	297.107	301.842	305.394	310.101	313.668	317.113	319.875	322.804	324.222	325.619	326.303	328.042	328.913	330.482	330.874
1836	Australia/New Zealand	237.899	241.897	251.839	252.954	254.654	261.238	266.937	275.365	279.606	285.048	290.623	302.231	298.692	297.204	288.178	280.238	281.558	288.064	300.679	310.614	318.68	342.943	335.537	315.502	303.591	289.138	282.656	280.735	275.692	275.532	276.114	285.327	289.25	292.431	286.588	297.668	295.574	298.09	302.63	308.117	320.959	316.661	322.467	318.938	315.145	312.658	309.806	307.589	304.046	304.9	305.121	301.42	303.243	305.377	310.657	319.905	328.461	351.833	361.656	359.819	363.467	361.219	367.335	363.883	356.285	365.186	367.924	372.262	377.178	368.224	359.547	362.053
1829	Europe and Northern America	15951.803	16064.391	16169.855	16218.491	16367.377	16387.397	16494.055	16652.479	16591.147	16646.469	16565.056	16474.376	16183.976	15994.572	15731.262	15136.231	14779.514	14710.396	14550.212	14515.167	14569.692	14468.897	14016.897	13723.046	13826.012	13696.126	13678.898	13760.734	13768.746	13946.673	14074.295	13984.641	14101.96	14059.067	14072.817	14071.276	14091.623	14133.48	14131.166	13940.471	13803.55	13390.632	12975.812	12520.819	12246.221	11940.05	11841.236	11716.131	11658.943	11582.955	11725.595	11653.645	11701.698	11877.451	12019.22	12071.794	12328.826	12576.154	12808.452	12736.328	12638.646	12494.786	12540.977	12383.779	12451.13	12373.032	12278.914	11862.78	11547.071	11230.002	10981.12	10977.719
901	More developed regions	18578.928	18480.426	18456.634	18369.046	18426.636	18419.712	18462.842	18535.641	18562.236	18601.107	18514.117	18429.39	18162.399	18015.587	17802.125	17281.932	16500.526	16940.303	16744.44	16727.233	16845.186	16827.154	16426.947	16173.967	16204.256	15940.643	15824.56	15823.492	15770.335	15873.402	15943.158	15779.604	15876.666	15827.874	15818.443	15791.699	15746.499	15785.736	15760.038	15507.507	15349.922	14942.263	14521.448	14048.45	13809.299	13460.114	13375.728	13234.106	13174.308	13079.428	13248.293	13142.076	13177.306	13324.862	13458.268	13493.836	13780.247	14052.177	14295.156	14201.096	14097.399	13928.94	13971.737	13802.703	13835.365	13759.039	13637.787	13152.202	12809.355	12435.689	12168.269	12158.281
