country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
902	Less developed regions	43.402	43.036	44.809	43.845	44.328	44.079	43.057	44.083	42.352	40.19	39.645	38.38	42.651	45.049	42.937	42.282	41.249	39.942	40.933	40.07	39.773	38.661	37.771	36.98	35.852	34.516	33.866	32.969	32.701	32.879	32.905	32.936	33.141	32.026	31.999	31.866	31.976	31.821	31.023	30.725	30.433	28.758	27.938	27.302	26.768	26.275	25.722	25.237	24.783	24.428	24.343	23.964	23.618	23.292	23.098	22.862	22.682	22.605	22.525	22.403	22.176	21.975	22.002	21.596	21.332	20.884	20.727	20.439	19.772	19.339	18.73	18.363
941	Least developed countries	47.688	47.772	47.782	47.81	47.83	47.823	47.804	47.81	47.791	47.824	47.856	47.866	47.84	47.69	47.58	47.448	47.34	47.31	47.236	47.191	47.158	47.166	47.051	46.732	46.516	46.319	46.228	46.117	46.07	46.201	46.177	46.007	45.834	45.539	45.277	44.932	44.449	44.022	43.488	43.105	42.657	42.135	41.667	41.326	40.963	40.646	40.231	39.894	39.409	39.102	38.743	38.403	38.047	37.649	37.256	36.818	36.471	36.118	35.647	35.271	34.863	34.427	34.015	33.686	33.368	33.063	32.767	32.409	32.154	31.93	31.62	31.317
934	Less developed regions, excluding least developed countries	42.837	42.412	44.418	43.324	43.869	43.589	42.437	43.598	41.646	39.198	38.573	37.133	41.967	44.702	42.327	41.605	40.45	38.974	40.105	39.133	38.8	37.544	36.553	35.698	34.446	32.955	32.228	31.22	30.917	31.088	31.113	31.171	31.426	30.19	30.185	30.069	30.252	30.128	29.286	28.993	28.714	26.868	25.986	25.285	24.703	24.164	23.57	23.042	22.572	22.187	22.121	21.715	21.347	21.001	20.813	20.585	20.405	20.349	20.314	20.212	19.992	19.808	19.887	19.442	19.161	18.66	18.5	18.195	17.42	16.912	16.209	15.788
948	Less developed regions, excluding China	44.516	44.419	44.693	44.787	44.918	44.779	44.701	44.688	44.512	44.262	44.113	43.779	43.696	43.414	43.035	42.576	42.095	41.669	41.231	40.858	40.55	40.299	39.986	39.624	39.203	38.747	38.442	38.013	37.73	37.604	37.435	37.202	36.887	36.518	36.137	35.604	35.182	34.577	34.03	33.482	32.877	32.434	31.88	31.325	30.828	30.333	29.797	29.306	28.828	28.415	28.097	27.822	27.386	26.961	26.619	26.248	25.93	25.734	25.507	25.275	25.009	24.763	24.486	24.17	23.732	23.415	23.038	22.639	22.362	21.962	21.623	21.385
1636	Land-locked Developing Countries (LLDC)	45.936	45.973	46.007	46.04	46.033	46.088	46.219	46.349	46.483	46.543	46.541	46.369	46.06	45.612	45.146	44.727	44.303	43.956	43.655	43.482	43.403	43.363	43.325	43.166	43.167	43.15	43.133	43.12	43.046	43.105	43.021	43.038	42.996	43.161	43.319	43.364	43.284	43.064	42.641	42.189	41.906	41.528	41.06	40.727	40.163	39.888	39.418	38.904	38.435	38.141	37.766	37.409	37.078	36.756	36.577	36.312	36.099	35.941	35.591	35.337	35.022	34.669	34.308	33.912	33.609	33.232	32.772	32.266	32.078	31.9	31.646	31.239
1637	Small Island Developing States (SIDS)	40.701	40.627	40.617	40.681	40.791	40.809	40.716	40.533	40.489	40.316	40.344	39.92	39.669	39.572	38.837	38.034	37.278	36.315	35.469	34.761	34.127	33.646	33.029	32.196	31.257	30.311	29.716	29.057	28.431	28.232	28.012	27.901	28.251	28.184	27.983	27.893	27.636	27.674	27.803	27.576	27.402	26.518	26.02	25.532	25.013	24.646	24.019	23.93	23.301	23.03	22.835	22.209	22.029	21.677	21.335	21.004	20.625	20.399	20.412	20.356	20.15	20.071	19.779	19.439	19.22	19.002	18.519	18.196	17.947	17.692	17.44	17.179
1503	High-income countries	23.321	22.953	22.675	22.378	22.257	22.121	22.046	21.976	21.78	21.648	21.395	21.235	20.895	20.759	20.564	19.892	18.844	19.222	18.804	18.598	18.508	18.173	17.46	16.986	16.768	16.287	15.999	15.839	15.618	15.63	15.612	15.349	15.197	14.872	14.691	14.561	14.349	14.291	14.355	14.268	14.271	13.998	13.733	13.374	13.134	12.824	12.71	12.549	12.402	12.277	12.312	12.02	11.847	11.8	11.772	11.713	11.865	11.967	11.977	11.75	11.6	11.406	11.33	11.105	11.069	10.966	10.828	10.536	10.272	10.035	9.821	9.79
1517	Middle-income countries	41.533	41.244	43.014	41.987	42.433	42.129	41.068	42.041	40.297	38.123	37.539	36.207	40.449	42.801	40.597	39.912	38.866	37.543	38.615	37.785	37.548	36.507	35.66	34.933	33.852	32.523	31.896	31	30.755	30.937	30.981	31.041	31.335	30.238	30.244	30.117	30.269	30.132	29.275	28.929	28.588	26.793	25.901	25.2	24.651	24.116	23.552	23.068	22.635	22.275	22.232	21.887	21.581	21.281	21.113	20.885	20.709	20.655	20.625	20.534	20.314	20.123	20.2	19.801	19.551	19.083	18.935	18.605	17.868	17.37	16.696	16.296
1502	Upper-middle-income countries	39.759	39.186	42.207	40.232	40.919	40.481	38.551	40.379	37.241	33.296	32.242	29.974	38.128	42.9	38.985	38.043	36.446	34.236	36.615	35.341	35.112	33.246	31.857	30.696	28.911	26.721	25.671	24.292	23.983	24.353	24.484	24.728	25.501	23.614	23.97	24.292	25.009	25.4	24.238	24.139	24.122	20.904	19.654	18.874	18.268	17.742	17.135	16.584	16.114	15.745	15.862	15.292	15.027	14.848	14.906	14.895	14.922	15.004	15.194	15.236	15.085	14.983	15.483	14.957	15.052	14.369	14.457	14.286	12.942	12.372	11.255	10.584
1501	Lower-middle-income countries	43.558	43.59	43.933	43.985	44.156	44.005	43.925	43.927	43.759	43.553	43.424	43.038	42.981	42.694	42.359	41.96	41.521	41.167	40.808	40.466	40.221	40.085	39.826	39.561	39.227	38.8	38.587	38.152	37.918	37.849	37.744	37.554	37.3	36.951	36.553	35.93	35.482	34.793	34.206	33.591	32.909	32.439	31.841	31.161	30.611	30.011	29.429	28.95	28.49	28.075	27.833	27.625	27.224	26.769	26.357	25.899	25.511	25.304	25.057	24.824	24.515	24.221	23.934	23.608	23.066	22.741	22.388	21.912	21.612	21.141	20.768	20.53
