country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
902	Less developed regions	5.941469	5.894295	6.170987	6.051492	6.152228	6.148845	6.031394	6.227209	6.007936	5.709284	5.640338	5.45573	6.136383	6.551143	6.282637	6.228558	6.099298	5.911965	6.073257	5.935237	5.871321	5.666062	5.499387	5.334734	5.116816	4.880061	4.737462	4.562861	4.475579	4.44417	4.397137	4.347216	4.328319	4.140402	4.093708	4.032861	4.00584	3.958807	3.831405	3.768246	3.712159	3.484686	3.379786	3.302889	3.238982	3.179493	3.119151	3.068489	3.019957	2.982842	2.97813	2.934143	2.894876	2.856884	2.83684	2.81217	2.792696	2.78357	2.775766	2.764842	2.741083	2.724335	2.740034	2.704792	2.69191	2.657147	2.65918	2.641272	2.574478	2.53609	2.471622	2.436153	2021
941	Least developed countries	6.484147	6.495649	6.500606	6.512141	6.529104	6.54485	6.560682	6.579979	6.596069	6.623968	6.648043	6.668778	6.687509	6.690508	6.70094	6.707328	6.713568	6.728295	6.736255	6.742111	6.755069	6.762198	6.761035	6.739436	6.72127	6.69743	6.675166	6.650676	6.644578	6.644629	6.627907	6.59822	6.557381	6.503857	6.454592	6.386756	6.302264	6.217528	6.123331	6.048395	5.963773	5.867715	5.7773	5.701778	5.634961	5.556411	5.477464	5.421477	5.340752	5.268031	5.196933	5.130625	5.069145	5.002925	4.933787	4.864018	4.800585	4.737504	4.667414	4.603969	4.532394	4.463616	4.393539	4.339509	4.287749	4.240606	4.195206	4.142045	4.101326	4.064453	4.016305	3.966762	2021
934	Other less developed countries	5.871398	5.816363	6.128361	5.991403	6.102683	6.096284	5.960708	6.179156	5.928246	5.585912	5.504017	5.291796	6.060636	6.531341	6.226504	6.165331	6.019131	5.805916	5.989298	5.832749	5.759214	5.526005	5.337426	5.153529	4.908502	4.643176	4.484377	4.29005	4.192932	4.157588	4.108027	4.059262	4.046413	3.842928	3.797374	3.737887	3.718578	3.676202	3.545061	3.483543	3.430428	3.1869	3.079105	2.998532	2.932207	2.872074	2.81131	2.759107	2.712672	2.676408	2.677333	2.633403	2.59368	2.555358	2.53787	2.515222	2.496876	2.490741	2.487815	2.479351	2.456975	2.442641	2.465836	2.427326	2.414228	2.373675	2.376085	2.357798	2.2789	2.232872	2.158047	2.117981	2021
948	Less developed regions, excluding China	5.989016	5.97291	6.018272	6.04276	6.080659	6.081729	6.095176	6.122403	6.129545	6.131313	6.145674	6.131625	6.158876	6.15626	6.135628	6.093813	6.042174	5.994231	5.939601	5.885587	5.83432	5.778191	5.713226	5.636504	5.551625	5.461062	5.389339	5.300905	5.22265	5.159239	5.100859	5.026739	4.951383	4.874661	4.796823	4.699775	4.618146	4.525232	4.431193	4.33998	4.249615	4.165422	4.076313	3.993718	3.915556	3.837308	3.760227	3.689188	3.618245	3.557274	3.509807	3.463209	3.401969	3.343637	3.29857	3.252855	3.210385	3.179326	3.147074	3.117284	3.081985	3.052669	3.022276	2.989746	2.947199	2.922929	2.890847	2.849665	2.825529	2.784824	2.749319	2.724306	2021
1636	Land-locked Developing Countries (LLDC)	6.223675	6.222538	6.224823	6.229909	6.233841	6.248447	6.273979	6.303261	6.339962	6.377411	6.41627	6.438311	6.444269	6.429682	6.405593	6.379109	6.343277	6.309313	6.275004	6.248275	6.238333	6.232401	6.228173	6.208183	6.198839	6.184852	6.170456	6.154582	6.127814	6.10977	6.079311	6.057079	6.029162	6.019092	6.015253	6.000108	5.975611	5.927457	5.853559	5.776487	5.719392	5.65553	5.582069	5.530417	5.465951	5.408193	5.327631	5.254351	5.186467	5.125473	5.067787	5.000455	4.945554	4.892607	4.84488	4.786697	4.740439	4.701191	4.647256	4.591861	4.525912	4.459005	4.397393	4.336772	4.287707	4.233219	4.175802	4.111843	4.087614	4.061007	4.024049	3.962076	2021
1637	Small Island Developing States (SIDS)	5.397548	5.397124	5.405238	5.429096	5.461693	5.486752	5.500208	5.505048	5.530873	5.541131	5.583262	5.564239	5.564563	5.58841	5.514278	5.423521	5.332485	5.201674	5.079157	4.968854	4.861193	4.76099	4.639378	4.482605	4.310114	4.137595	4.011481	3.876829	3.745996	3.674846	3.59758	3.539034	3.533985	3.486062	3.426499	3.386233	3.329403	3.312456	3.314328	3.274713	3.250345	3.149152	3.097227	3.049954	3.001686	2.976252	2.918577	2.926091	2.866633	2.849846	2.84334	2.780025	2.77276	2.738013	2.7013	2.66441	2.621114	2.596599	2.601313	2.597901	2.574429	2.57036	2.540169	2.504652	2.484416	2.463312	2.408029	2.374774	2.352154	2.326656	2.304851	2.279086	2021
1503	High-income countries	3.012191	2.980765	2.970889	2.952593	2.959186	2.965769	2.979357	2.992691	2.989322	2.994835	2.981732	2.9783	2.946058	2.939772	2.921049	2.826744	2.668001	2.712019	2.635887	2.587546	2.551874	2.481971	2.360045	2.273385	2.222214	2.138294	2.085149	2.051853	2.012544	2.005128	1.995269	1.954334	1.930306	1.885864	1.861878	1.846116	1.821626	1.81843	1.832277	1.828586	1.83745	1.811654	1.787404	1.752347	1.732405	1.703015	1.700451	1.691687	1.684973	1.68128	1.699873	1.672893	1.661598	1.66711	1.675459	1.679959	1.714342	1.741254	1.753195	1.730169	1.718097	1.700056	1.701442	1.679535	1.686467	1.683144	1.674365	1.639244	1.606946	1.578769	1.553601	1.560484	2021
1517	Middle-income countries	5.527125	5.497393	5.769796	5.648675	5.744116	5.734281	5.615956	5.800364	5.586363	5.298724	5.231721	5.050997	5.721646	6.132152	5.865301	5.815521	5.693341	5.511246	5.685611	5.556787	5.503632	5.310165	5.151139	4.997148	4.787026	4.553065	4.414567	4.241874	4.159542	4.131865	4.090162	4.048825	4.0457	3.865057	3.826196	3.77008	3.752585	3.711591	3.581533	3.516038	3.457426	3.219612	3.108235	3.024994	2.960449	2.898384	2.837763	2.787085	2.740931	2.703548	2.703192	2.662664	2.626821	2.590249	2.572006	2.547199	2.527413	2.520438	2.518028	2.510351	2.487894	2.472683	2.495005	2.461785	2.45172	2.414993	2.41862	2.397693	2.324459	2.280162	2.210025	2.172279	2021
1502	Upper-middle-income countries	5.318847	5.255251	5.709943	5.46461	5.601591	5.580375	5.341794	5.656965	5.241021	4.684181	4.530951	4.196687	5.43834	6.225227	5.726481	5.661388	5.471279	5.16114	5.537515	5.333705	5.266674	4.931577	4.676494	4.432098	4.084387	3.705246	3.483637	3.227027	3.129261	3.124512	3.091892	3.085682	3.152008	2.875963	2.873565	2.86107	2.897345	2.903723	2.740306	2.699243	2.668849	2.288978	2.158958	2.08373	2.031129	1.989664	1.945868	1.905842	1.87817	1.857932	1.893285	1.84059	1.820558	1.807657	1.822202	1.825703	1.833249	1.846872	1.874929	1.886262	1.876091	1.875627	1.95553	1.910076	1.945751	1.883123	1.920154	1.925604	1.773645	1.722787	1.593601	1.522007	2021
1501	Lower-middle-income countries	5.754012	5.762876	5.823441	5.845669	5.892412	5.893849	5.910171	5.942812	5.954354	5.967757	5.992001	5.978341	6.018099	6.022751	6.017358	5.99021	5.948813	5.913475	5.874526	5.830112	5.79196	5.752915	5.696503	5.635606	5.566842	5.484686	5.428368	5.343815	5.272684	5.215844	5.169166	5.100743	5.036834	4.969518	4.895415	4.791588	4.71099	4.612757	4.514247	4.413839	4.315815	4.222903	4.120732	4.018606	3.925833	3.828787	3.741648	3.664685	3.586965	3.520708	3.475962	3.430445	3.368516	3.301188	3.245232	3.188591	3.135461	3.099249	3.061754	3.029721	2.986836	2.950677	2.917396	2.882837	2.828447	2.805347	2.778177	2.728075	2.701934	2.65368	2.614626	2.589218	2021
