"country"	"country_code"	"1740-1745"	"1745-1750"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Cyprus"	196																												5.717970011	5.24959268	4.84956684	4.514198619	4.239794145	4.024575254	4.143452546	4.500726504	4.3129106	3.600346605	3.946645648	4.31844504	4.394795682	4.248303188	3.939811616	GapMinder (1875-1950)
"Czech Rep."	203													5.29374016	5.24085616	5.19536416	5.16158416	5.143825758	5.141487712	5.142673312	5.144377312	5.146023712	5.146977647	5.1272254	5.07687147	5.084197	5.132607996	5.12982248	5.079831903	5.016650082	4.943775545	4.898332686	4.865296668	4.691418539	4.230345712	3.657165323	3.082948791	2.746324633	2.218983564	1.858747258	1.866107529	2.615537016	2.915344318	GapMinder (1800-1950)
"Denmark"	208													4.050130928	4.077933299	4.118323279	4.175638852	4.217229333	4.032114669	3.93989837	4.058845728	4.158309739	4.221559444	4.317108459	4.438975334	4.183692462	4.123217944	4.162228449	4.320030978	4.373092646	4.248570427	4.1022128	4.059517663	3.996553704	3.789883904	3.45267658	3.14362601	2.859160504	2.406206344	2.156360268	2.169353744	2.640931755	2.749311376	GapMinder (1800-1890) and  Festy (1891-1950)
"Dominican Rep."	214																																								6.556218463	7.072036604	7.411864631	GapMinder (1935-1950)
"Ecuador"	218																																	6.986637136	6.907849735	6.822375992	6.819190874	7.014553378	7.150082066	7.06083418	6.904359944	6.717083959	6.701010831	GapMinder (1900-1950)
"El Salvador"	222																																	5.859142013	5.8662051	5.9306256	5.861420024	6.25156683	6.297895852	6.197365078	6.080524435	6.043339941	6.062723822	GapMinder (1900-1950)
"Estonia"	233													5.316589071	4.990840401	5.01986512	4.96165016	5.108324922	5.060856613	4.876758235	4.558688989	4.397571003	4.3611324	4.621450534	4.764796397	5.094315946	4.38300064	4.468631764	4.248825344	4.0635411	3.930470336	3.793340096	3.892838377	3.804619807	3.525058505	3.243096287	2.643924186	2.540915211	2.427915688	2.195219144	2.146571855	2.145307776	2.105591341	GapMinder (1800-1950)
"Fiji"	242																																	6.102964479	5.620671046	5.261018566	5.011476086	4.859512653	4.792780945	4.851006952	5.06785079	5.272069559	5.891927797	GapMinder (1900-1950)
"Finland"	246				5.672547771	6.088819677	5.875302031	5.674631283	5.47591423	5.285177515	5.230148018	5.23	5.080564516	5.082629234	4.54780625	4.775	4.739548193	4.926451807	4.909647697	4.458455751	4.359396552	4.721	4.716	4.9025	4.772043478	5.0023864	4.356291052	4.969820736	5.01450119	4.930082143	4.991375	4.702525	4.893475	4.7725	4.695848718	4.213878555	3.526318182	3.369892045	2.888188937	2.405873563	2.45005	2.575499941	3.342140363	"GapMinder (1800-1865), Festy (1866-1938), HFD (1939-1950)"
"France"	250	5.426120111	5.3895085	5.365600444	5.439492	5.228652	5.191228	5.0547	5.091108	5.091856	5.146861071	4.95348483	4.789218032	4.215567117	3.960833076	3.880721053	3.854763158	3.815494737	3.754231579	3.678179059	3.590113774	3.537599014	3.508048342	3.385710282	3.43	3.495	3.509	3.437	3.475	3.38	3.179	2.971	2.896	2.80821	2.62146	2.35913	1.56586	2.46574	2.30915	2.18137	2.10413	2.09763	2.91932	Festy (1740-1950)
"French Polynesia"	258																																						5.97038304	5.86331504	5.80357504	5.77724304	5.772399272	GapMinder (1925-1950)
"Georgia"	268																																	7.759190499	7.57163301	7.243833143	6.806952399	6.292152282	5.73002801	4.967002112	3.966191611	3.489280071	3.255798914	GapMinder (1900-1950)
"Germany"	276													5.364826817	5.330090225	5.318242907	5.338099225	5.318268212	4.9602699	4.850644808	4.899779192	4.971770873	5.012663092	4.604531611	4.652961506	5.004885807	5.131853435	5.362815844	5.225307233	5.237317561	5.22314	5.156803385	5.031951114	4.764898366	4.319269001	3.461352096	2.393331885	2.466025059	1.972270625	1.781015318	2.234310777	1.927531842	2.057205	GapMinder (1800-1880) and Chesnay (1881-1950)
